Model,Precision,Recall,F1-Score,Fold
ALBERT,0.7140091689395212,0.62048549437537,0.5803206110650023,1
ALBERT,0.7140606188530779,0.7082471179426545,0.6985342781036531,2
ALBERT,0.7297615728012861,0.7040756054341406,0.6841220390018798,3
ALBERT,0.7237663724336927,0.671293561724749,0.6383447560160093,4
ALBERT,0.7189527901522977,0.686650915534554,0.6771344763946194,5
ALBERT,0.7472404502202797,0.7404670410877919,0.7304065376677202,6
ALBERT,0.7630884132600826,0.7522150029533373,0.7433787944093107,7
ALBERT,0.7975599062966299,0.8,0.7956437474581544,8
ALBERT,0.7983960740364605,0.7852923803898405,0.7792295266950573,9
ALBERT,0.7708048499580398,0.7703703703703704,0.7600076547716667,10
BERT,0.7130487370882792,0.6489046773238603,0.6106676633486129,1
BERT,0.7486820754582457,0.7502216967188886,0.7347593743881644,2
BERT,0.7592818269027358,0.7330183106910809,0.71496632013326,3
BERT,0.707128273846268,0.6963969285292381,0.6656654187811353,4
BERT,0.7739772945108805,0.7306556408741879,0.7196680077685323,5
BERT,0.7580661886128723,0.7537688442211056,0.745020052534338,6
BERT,0.797301616647115,0.7882457176609569,0.7814509811756838,7
BERT,0.8368893013438737,0.8251107828655835,0.8202816061215833,8
BERT,0.822692115060398,0.8071470761961016,0.8028058445387224,9
BERT,0.7940395878969244,0.7771851851851852,0.7666177167863978,10
CodeBERT,0.7235099472310894,0.6465364120781527,0.6064368962088799,1
CodeBERT,0.7522640350967505,0.7454921667159327,0.7295291600678734,2
CodeBERT,0.7534102868018122,0.7279976373301831,0.7109517195257595,3
CodeBERT,0.7794434234847226,0.70939161252215,0.6778252517426127,4
CodeBERT,0.7770299366837008,0.7285883047844064,0.7208241020755055,5
CodeBERT,0.780498040651642,0.7768253029855158,0.7687265919596862,6
CodeBERT,0.7987113356791206,0.7894270525694034,0.783937868982561,7
CodeBERT,0.842653722151298,0.8286558345642541,0.8246096529351657,8
CodeBERT,0.8233693548552347,0.8068517424689899,0.8033706226582327,9
CodeBERT,0.8063501248005206,0.7911111111111111,0.779754911892024,10
DeBERTa,0.7061938160941669,0.6900532859680284,0.6830290780240169,1
DeBERTa,0.7731586886324446,0.7582027785988767,0.7523698461662993,2
DeBERTa,0.772729000250348,0.7504430005906675,0.7344771685995922,3
DeBERTa,0.7430405796845275,0.7090962787950384,0.6894624176192323,4
DeBERTa,0.7760622995750555,0.7510336680448907,0.7502886108777236,5
DeBERTa,0.778327095623733,0.7759385161099616,0.7708175539844362,6
DeBERTa,0.8010963576904603,0.7926757235676314,0.7878943083139955,7
DeBERTa,0.8321299628336742,0.8319054652880354,0.8301654472766853,8
DeBERTa,0.8248898635213454,0.8186650915534555,0.8170127891591384,9
DeBERTa,0.7893070964626264,0.7914074074074074,0.7831270129532663,10
DistilBERT,0.7210350796344109,0.6323268206039077,0.5910353475071727,1
DistilBERT,0.7427767051973784,0.7454921667159327,0.7261869008276618,2
DistilBERT,0.7557640486210905,0.7321323095097461,0.7133038138347692,3
DistilBERT,0.7447116579812605,0.6943295924394566,0.6627567230081782,4
DistilBERT,0.7498502234702588,0.7206142941523922,0.7118351696142211,5
DistilBERT,0.760365362849691,0.755542417972214,0.7491889392983808,6
DistilBERT,0.7895747033291675,0.7829297105729475,0.7741584164072437,7
DistilBERT,0.8169558422716955,0.8221565731166913,0.8174415357706317,8
DistilBERT,0.817972622160933,0.8041937389249852,0.799695840116806,9
DistilBERT,0.7799886684343103,0.7893333333333333,0.7770683864851307,10
RoBERTa,0.7239548309128698,0.6468324452338662,0.6053198901257292,1
RoBERTa,0.7520258733323777,0.7487437185929648,0.7340020688143174,2
RoBERTa,0.7616319180952735,0.7383343177790904,0.71991375862307,3
RoBERTa,0.7758851619148918,0.7117542823390431,0.6778217061804003,4
RoBERTa,0.7485416345722481,0.7309509746012994,0.7160119283373761,5
RoBERTa,0.7723478581317345,0.7673662429796039,0.7604022423169786,6
RoBERTa,0.7961750417587878,0.7855877141169522,0.778128822155913,7
RoBERTa,0.8461424795469659,0.8316100443131462,0.8280920784347119,8
RoBERTa,0.82029478554171,0.8065564087418783,0.8020270752857505,9
RoBERTa,0.800797397552392,0.7845925925925926,0.7733050766623424,10
SVM,0.68715360274384,0.6672587329780936,0.660949402423994,1
SVM,0.7323786139566834,0.7174105823233816,0.7135729910995618,2
SVM,0.7175336643617508,0.6919669226225635,0.6765723542382598,3
SVM,0.6615357079558278,0.6441228588304785,0.6181737030683058,4
SVM,0.7139925403887869,0.6816302421736562,0.6800390065493559,5
SVM,0.6978359601716819,0.681939107301212,0.6687791905498898,6
SVM,0.7382983649765206,0.7132309509746013,0.7056228700942297,7
SVM,0.750628444288807,0.741506646971935,0.7413845738469104,8
SVM,0.7460166106719006,0.7365623154164206,0.7316479997045179,9
SVM,0.7622646188384414,0.7425185185185185,0.7332007196787697,10
