ALBERT,BERT,CodeBERT,DistilBERT,DeBERTa,RoBERTa,SVM
0.4283137369102323,0.3662171645975017,0.4225700751079535,0.38588893402077185,0.4936585157735845,0.43642644616452014,0.5161612701230731
0.4095712622450316,0.3724186702763995,0.42765745314357667,0.45547195053080386,0.5178934176048201,0.43577963080037146,0.5281466971499129
0.4488393084481121,0.4295292147250931,0.444167987623881,0.46806206066159456,0.4979200237738837,0.460329578757356,0.5010505216820584
0.4591061278392768,0.49125879341501155,0.4982160258427844,0.5095345901885775,0.5148267019274843,0.5028659734221803,0.5201751692116616
0.4980508177086607,0.5238492492151356,0.5397864239226532,0.5456426663863919,0.5387044344809401,0.5341506785685577,0.5354808448700973
0.5567976155400813,0.5766121560491538,0.58349579930313,0.5932254665960147,0.5789780608657067,0.5877258388789266,0.5575469425920945
0.4549019152323335,0.47106487040653394,0.4928036724475566,0.4890545049032883,0.5185663770619983,0.4761052944387002,0.48416101044693394
0.4704814815722418,0.509204070973284,0.5259371424575294,0.5213260419194373,0.5203890809487423,0.5180135660808305,0.5079813452755385
0.5048351874940122,0.49684603429639373,0.5193616542485465,0.5118881634947461,0.5254696899273101,0.5149676570538066,0.5085536424231583
0.37788511180314815,0.3863061369825772,0.40119393940692205,0.3955528750843776,0.42348888957960895,0.3938364196635523,0.40517839428869296
